#Genotype_assay_ID,GS_accession_name,Country,GS_id(separated from accession),SampleSet,Subpop
4bd6d76f.0,ROJOKELY,Madagascar,GERVEX 8410-C1,RDP2,admixed-ind
8278a099.0,SAHEL 108,Senegal,C1,RDP2,ind2
31686493.0,SALUMPIKIT,Philippines,IRTP 4777-C1,RDP2,admixed-ind
441fd56b.0,SAMBALA MALO,Mali,C1,RDP2,admixed-ind
a1260394.0,SEBERANG MR 77,Mali,C1,RDP2,ind2
0c1db998.0,SONA,India,IRGC 26971-C1,RDP2,admixed-ind
431da0d8.0,TSIPALA 1231,Madagascar,GERVEX 8418-C1,RDP2,admixed-ind
b8626bf8.0,TSIPALA B 160,Madagascar,GERVEX 8378-C1,RDP2,ind3
7743e15d.0,TSIPALA MENA 626,Madagascar,GERVEX 5392-C1,RDP2,ind3
8ae7984c.0,UPL RI 7,Philippines,IRTP 9897-C1,RDP2,ind2
658e838e.0,VARY LAVA DE MAROVATO,Madagascar,GERVEX 8396-C1,RDP2,admixed-ind
34af0d02.0,WAS 170-B-B-1-1,Senegal,C1,RDP2,ind2
c4aeea84.0,WAS 173-B-B-6-2-2,Senegal,C1,RDP2,ind2
7a6814b3.0,WAS 174-B-3-5,Senegal,C1,RDP2,ind2
9546bb86.0,WAS 198-B-3-1-3,Senegal,C1,RDP2,ind2
da672708.0,WAS 199-B-1-2-1,Senegal,C1,RDP2,ind2
90a37af1.0,WAS 203-B-B-2-4-1,Senegal,C1,RDP2,ind2
11807362.0,WAS 206-B-B-2-2-1,Senegal,C1,RDP2,ind2
1d6c32b7.0,WAS 21-B-B-20-4-3-3,Senegal,C1,RDP2,ind2
ab8d68e9.0,WAS 33-B-B-15-1-4-5,Senegal,C1,RDP2,ind2
f817e447.0,WAS 63-22-5-9-10-1,Senegal,C1,RDP2,ind2
35b48cd4.0,BODA 148-3,Madagascar,GERVEX 8258-C1,RDP2,admixed-jap
d6a5eaee.0,CHA LOY OE,Thailand,C1,RDP2,admixed-jap
5b885380.0,CIRAD 403,Brazil,GERVEX 9039-C1,RDP2,trj
7af9f4a0.0,CNA 7\BO\1\1>33-13-6-1,Colombia,C1,RDP2,trj
5c045944.0,CT 13582-15-5-M,Colombia,C1,RDP2,trj
